2,1160,-10.00,0.00
2,1170,12.00,0.20
2,1180,1.00,0.10
2,1190,-10.00,0.00
2,1200,23.00,0.30
2,1210,-10.00,0.00
2,1220,23.00,0.30
2,1230,1.00,0.10
2,1240,23.00,0.30
2,1250,1.00,0.10
3,10,23.00,0.30
3,20,12.00,0.20
3,30,-10.00,0.00
3,40,12.00,0.20
3,50,-10.00,0.00
3,60,-10.00,0.00
3,70,12.00,0.20
3,80,23.00,0.30
3,90,1.00,0.10
3,100,-10.00,0.00
3,110,23.00,0.30
3,120,23.00,0.30
3,130,12.00,0.20
3,140,-10.00,0.00
3,150,12.00,0.20
3,160,1.00,0.10
3,170,12.00,0.20
3,180,23.00,0.30
3,190,12.00,0.20
3,200,23.00,0.30
3,210,23.00,0.30
3,220,-10.00,0.00
3,230,12.00,0.20
3,240,1.00,0.10
3,250,1.00,0.10
3,260,1.00,0.10
3,270,23.00,0.30
3,280,23.00,0.30
3,290,12.00,0.20
3,300,12.00,0.20
3,310,12.00,0.20
3,320,23.00,0.30
3,330,23.00,0.30
3,340,34.00,0.40
3,350,34.00,0.40
3,360,23.00,0.30
3,370,1.00,0.10
3,380,45.00,0.50
3,390,67.00,0.70
3,400,67.00,0.70
3,410,12.00,0.20
3,420,34.00,0.40
3,430,12.00,0.20
3,440,23.00,0.30
3,450,12.00,0.20
3,460,56.00,0.60
3,470,12.00,0.20
3,480,45.00,0.50
3,490,23.00,0.30
3,500,45.00,0.50
3,510,12.00,0.20
3,520,23.00,0.30
3,530,45.00,0.50
3,540,-10.00,0.00
3,550,23.00,0.30
3,560,23.00,0.30
3,570,1.00,0.10
3,580,34.00,0.40
3,590,45.00,0.50
3,600,34.00,0.40
3,610,23.00,0.30
3,620,56.00,0.60
3,630,45.00,0.50
3,640,23.00,0.30
3,650,12.00,0.20
3,660,34.00,0.40
3,670,34.00,0.40
3,680,45.00,0.50
3,690,56.00,0.60
3,700,12.00,0.20
3,710,56.00,0.60
3,720,23.00,0.30
3,730,12.00,0.20
3,740,34.00,0.40
3,750,23.00,0.30
3,760,45.00,0.50
3,770,56.00,0.60
3,780,23.00,0.30
3,790,23.00,0.30
3,800,67.00,0.70
3,810,12.00,0.20
3,820,12.00,0.20
3,830,23.00,0.30
3,840,12.00,0.20
3,850,34.00,0.40
3,860,1.00,0.10
3,870,67.00,0.70
3,880,34.00,0.40
3,890,23.00,0.30
3,900,34.00,0.40
3,910,34.00,0.40
3,920,1.00,0.10
3,930,-10.00,0.00
3,940,23.00,0.30
3,950,1.00,0.10
3,960,34.00,0.40
3,970,1.00,0.10
3,980,34.00,0.40
3,990,34.00,0.40
3,1000,1.00,0.10
3,1010,23.00,0.30
3,1020,34.00,0.40
3,1030,34.00,0.40
3,1040,12.00,0.20
3,1050,12.00,0.20
3,1060,1.00,0.10
3,1070,12.00,0.20
3,1080,1.00,0.10
3,1090,23.00,0.30
3,1100,67.00,0.70
3,1110,45.00,0.50
3,1120,23.00,0.30
3,1130,12.00,0.20
3,1140,34.00,0.40
3,1150,12.00,0.20
3,1160,12.00,0.20
3,1170,34.00,0.40
3,1180,23.00,0.30
3,1190,12.00,0.20
3,1200,45.00,0.50
3,1210,45.00,0.50
3,1220,34.00,0.40
3,1230,-10.00,0.00
3,1240,23.00,0.30
3,1250,23.00,0.30
4,10,1.00,0.10
4,20,45.00,0.50
4,30,23.00,0.30
4,40,12.00,0.20
4,50,12.00,0.20
4,60,56.00,0.60
4,70,23.00,0.30
